name,team,pos,age,gp,passYds,passTD,int,carries,rushYds,ypc,rushTD,targets,rec,recYds,ypr,recTD,pprPts
Jonathan Taylor,IND,RB,26,17,0,0,0,323,1585,4.91,18,55,46,378,8.22,2,362.3
Christian McCaffrey,SFO,RB,29,17,0,0,0,311,1202,3.86,10,129,102,924,9.06,7,416.6
Bijan Robinson,ATL,RB,23,17,0,0,0,287,1478,5.15,7,103,79,820,10.38,4,370.8
Jahmyr Gibbs,DET,RB,23,17,0,0,0,243,1223,5.03,13,94,77,616,8.00,5,366.9
Puka Nacua,LAR,WR,24,16,0,0,0,10,105,10.50,1,166,129,1715,13.29,10,375.0
Jaxon Smith-Njigba,SEA,WR,23,17,0,0,0,7,36,5.14,0,163,119,1793,15.07,10,359.9
James Cook,BUF,RB,26,17,0,0,0,309,1621,5.25,12,40,33,291,8.82,2,302.2
Derrick Henry,BAL,RB,31,17,0,0,0,307,1595,5.20,16,21,15,150,10.00,0,279.5
De'Von Achane,MIA,RB,24,16,0,0,0,238,1350,5.67,8,85,67,488,7.28,4,322.8
Josh Allen,BUF,QB,29,17,3668,25,10,112,579,5.17,14,0,0,0,,0,364.6
Amon-Ra St. Brown,DET,WR,26,17,0,0,0,3,9,3.00,0,172,117,1401,11.97,11,324.0
Trey McBride,ARI,TE,26,17,0,0,0,0,0,,0,169,126,1239,9.83,11,315.9
George Pickens,DAL,WR,24,17,0,0,0,0,0,,0,137,93,1429,15.37,9,291.9
Drake Maye,NWE,QB,23,17,4394,31,8,103,450,4.37,4,1,1,2,2.00,0,352.0
Matthew Stafford,LAR,QB,37,17,4707,46,8,29,1,0.03,0,0,0,0,,0,350.4
Kyren Williams,LAR,RB,25,17,0,0,0,259,1252,4.83,10,50,36,281,7.81,3,263.3
Ja'Marr Chase,CIN,WR,25,16,0,0,0,3,14,4.67,0,185,125,1412,11.30,8,313.6
Travis Etienne,JAX,RB,26,17,0,0,0,260,1107,4.26,7,52,36,292,8.11,6,253.9
Trevor Lawrence,JAX,QB,26,17,4007,29,12,82,359,4.38,9,0,0,0,,0,338.2
Chase Brown,CIN,RB,25,17,0,0,0,232,1019,4.39,6,88,69,437,6.33,5,282.6
Javonte Williams,DAL,RB,25,16,0,0,0,252,1201,4.77,11,51,35,137,3.91,2,242.8
Josh Jacobs,GNB,RB,27,15,0,0,0,234,929,3.97,13,44,36,282,7.83,1,237.1
Chris Olave,NOR,WR,25,16,0,0,1,1,-3,-3.00,0,156,100,1163,11.63,9,268.0
D'Andre Swift,CHI,RB,26,16,0,0,0,223,1087,4.87,9,48,34,299,8.79,1,228.6
Saquon Barkley,PHI,RB,28,16,0,0,0,280,1140,4.07,7,50,37,273,7.38,2,232.3
Davante Adams,LAR,WR,33,14,0,0,0,0,0,,0,114,60,789,13.15,14,222.9
Caleb Williams,CHI,QB,24,17,3942,27,7,77,388,5.04,3,2,2,22,11.00,1,318.7
Dak Prescott,DAL,QB,32,17,4552,30,10,53,177,3.34,2,0,0,0,,0,313.8
Ashton Jeanty,LVR,RB,22,17,0,0,0,266,975,3.67,5,73,55,346,6.29,5,245.1
Zay Flowers,BAL,WR,25,17,0,0,0,10,62,6.20,1,118,86,1211,14.08,5,243.3
Nico Collins,HOU,WR,26,15,0,0,0,2,15,7.50,1,120,71,1117,15.73,6,226.2
Jameson Williams,DET,WR,24,17,0,0,0,6,12,2.00,0,102,65,1117,17.18,7,219.9
Tee Higgins,CIN,WR,26,15,0,0,0,0,0,,0,98,59,846,14.34,11,211.6
Bo Nix,DEN,QB,25,17,3931,25,11,83,356,4.29,5,1,0,0,,0,304.8
Rico Dowdle,CAR,RB,27,17,0,0,0,236,1076,4.56,6,50,39,297,7.62,1,216.3
Jaylen Warren,PIT,RB,27,16,0,0,0,211,958,4.54,6,45,40,333,8.33,2,217.1
Courtland Sutton,DEN,WR,30,17,0,0,0,0,0,,0,124,74,1017,13.74,7,219.7
Jalen Hurts,PHI,QB,27,16,3224,25,6,105,421,4.01,8,0,0,0,,0,299.1
Jared Goff,DET,QB,31,17,4564,34,8,19,45,2.37,0,0,0,0,,0,297.1
Michael Wilson,ARI,WR,25,17,0,0,0,0,0,,0,126,78,1006,12.90,7,220.6
A.J. Brown,PHI,WR,28,15,0,0,0,0,0,,0,121,78,1003,12.86,7,220.3
Breece Hall,NYJ,RB,24,16,4,1,0,243,1065,4.38,4,48,36,350,9.72,1,207.7
TreVeyon Henderson,NWE,RB,23,17,0,0,0,180,911,5.06,9,42,35,221,6.31,1,206.2
Tetairoa McMillan,CAR,WR,22,17,0,0,0,0,0,,0,122,70,1014,14.49,7,211.4
Dallas Goedert,PHI,TE,30,15,0,0,0,0,0,,0,82,60,591,9.85,11,185.1
Kyle Pitts,ATL,TE,25,17,0,0,0,0,0,,0,118,88,928,10.55,5,210.8
Alec Pierce,IND,WR,25,15,0,0,0,0,0,,0,84,47,1003,21.34,6,183.3
Drake London,ATL,WR,24,12,0,0,0,0,0,,0,112,68,919,13.51,7,201.9
Hunter Henry,NWE,TE,31,17,0,0,0,0,0,,0,87,60,768,12.80,7,178.8
Justin Herbert,LAC,QB,27,16,3727,26,13,83,498,6.00,2,0,0,0,,0,286.9
Emeka Egbuka,TAM,WR,23,17,0,0,0,2,9,4.50,0,127,63,938,14.89,6,195.7
Travis Kelce,KAN,TE,36,17,0,0,0,1,1,1.00,0,108,76,851,11.20,5,193.2
Patrick Mahomes,KAN,QB,30,14,3587,22,11,64,422,6.59,5,1,1,-10,-10.00,0,285.7
Zach Charbonnet,SEA,RB,24,16,0,0,0,184,730,3.97,12,24,20,144,7.20,0,181.4
Kenneth Walker III,SEA,RB,25,17,0,0,0,221,1027,4.65,5,36,31,282,9.10,0,191.9
Jaylen Waddle,MIA,WR,27,16,8,0,0,2,28,14.00,0,100,64,910,14.22,6,194.1
RJ Harvey,DEN,RB,24,17,0,0,0,146,540,3.70,7,58,47,356,7.57,5,206.6
Harold Fannin,CLE,TE,21,16,0,0,0,7,13,1.86,1,107,72,731,10.15,6,186.4
D.K. Metcalf,PIT,WR,28,15,0,0,0,2,12,6.00,1,99,59,850,14.41,6,187.2
Parker Washington,JAX,WR,23,16,0,0,0,7,0,0.00,0,95,58,847,14.60,5,184.7
Tyler Warren,IND,TE,23,17,0,0,0,6,8,1.33,1,112,76,817,10.75,4,188.5
Brock Bowers,LVR,TE,23,12,0,0,0,2,2,1.00,0,86,64,680,10.63,7,176.2
CeeDee Lamb,DAL,WR,26,14,0,0,0,1,2,2.00,0,117,75,1077,14.36,3,200.9
Wan'Dale Robinson,NYG,WR,24,16,0,0,0,3,5,1.67,0,140,92,1014,11.02,4,217.9
Stefon Diggs,NWE,WR,32,17,0,0,0,0,0,,0,102,85,1013,11.92,4,210.3
DeVonta Smith,PHI,WR,27,17,0,0,0,0,0,,0,113,77,1008,13.09,4,201.8
Michael Pittman Jr.,IND,WR,28,17,0,0,0,0,0,,0,111,80,784,9.80,7,202.4
Tony Pollard,TEN,RB,28,17,0,0,0,242,1082,4.47,5,41,33,206,6.24,0,185.8
Colston Loveland,CHI,TE,21,16,0,0,0,1,-2,-2.00,0,82,58,713,12.29,6,165.1
Quentin Johnston,LAC,WR,24,14,0,0,0,2,7,3.50,0,84,51,735,14.41,8,171.2
D.J. Moore,CHI,WR,28,17,2,1,0,15,79,5.27,1,85,50,682,13.64,6,170.2
Jake Ferguson,DAL,TE,26,17,0,0,0,1,1,1.00,0,102,82,600,7.32,8,188.1
George Kittle,SFO,TE,32,11,0,0,0,1,-3,-3.00,0,69,57,628,11.02,7,161.5
Jauan Jennings,SFO,WR,28,15,0,0,0,0,0,,0,90,55,643,11.69,9,173.3
Baker Mayfield,TAM,QB,30,17,3693,26,11,55,382,6.95,1,0,0,0,,0,271.9
Jaxson Dart,NYG,QB,22,14,2272,15,5,86,487,5.66,9,0,0,0,,0,241.6
Jordan Love,GNB,QB,27,15,3381,23,6,47,199,4.23,0,0,0,0,,0,235.1
Sam Darnold,SEA,QB,28,17,4048,25,14,35,95,2.71,0,0,0,0,,0,235.4
Jacoby Brissett,ARI,QB,33,14,3366,23,8,38,168,4.42,1,0,0,0,,0,227.4
Daniel Jones,IND,QB,28,13,3101,19,8,45,164,3.64,5,0,0,0,,0,226.4
Aaron Rodgers,PIT,QB,42,16,3322,24,7,21,61,2.90,1,1,1,-9,-9.00,0,227.1
Bryce Young,CAR,QB,24,16,3011,23,11,54,216,4.00,2,0,0,0,,0,218.0
Lamar Jackson,BAL,QB,28,13,2549,21,7,67,349,5.21,2,0,0,0,,0,214.9
C.J. Stroud,HOU,QB,24,14,3041,19,8,48,209,4.35,1,0,0,0,,0,208.5
Cam Ward,TEN,QB,23,17,3169,15,7,39,159,4.08,2,0,0,0,,0,186.7
Brock Purdy,SFO,QB,26,9,2167,20,10,33,147,4.45,3,0,0,0,,0,177.4
Geno Smith,LVR,QB,35,15,3025,19,17,41,109,2.66,0,0,0,0,,0,173.9
Tua Tagovailoa,MIA,QB,27,14,2660,20,15,20,43,2.15,0,0,0,0,,0,160.7
Tyler Shough,NOR,QB,26,11,2384,10,6,45,186,4.13,3,0,0,0,,0,158.0
Kenneth Gainwell,PIT,RB,26,17,0,0,0,114,537,4.71,5,85,73,486,6.66,3,221.3
Joe Flacco,2TM,QB,40,13,2479,15,10,21,35,1.67,1,0,0,0,,0,146.7
Rhamondre Stevenson,NWE,RB,27,14,0,0,0,130,603,4.64,7,37,32,345,10.78,2,178.8
Quinshon Judkins,CLE,RB,22,14,0,0,0,230,827,3.60,7,36,26,171,6.58,0,169.8
Justin Fields,NYJ,QB,26,9,1259,7,1,71,383,5.39,4,1,0,0,,0,142.7
David Montgomery,DET,RB,28,17,3,1,0,158,716,4.53,8,29,24,192,8.00,0,166.9
Joe Burrow,CIN,QB,29,8,1809,17,5,14,41,2.93,0,0,0,0,,0,134.5
Jacory Croskey-Merritt,WAS,RB,24,17,0,0,0,175,805,4.60,8,13,9,68,7.56,0,140.3
Mac Jones,SFO,QB,27,11,2151,13,6,36,60,1.67,0,0,0,0,,0,130.0
Kyle Monangai,CHI,RB,23,17,0,0,0,169,783,4.63,5,30,18,164,9.11,0,146.7
Kareem Hunt,KAN,RB,30,17,0,0,0,163,611,3.75,8,25,18,143,7.94,1,145.4
Woody Marks,HOU,RB,25,16,0,0,0,196,703,3.59,2,36,24,208,8.67,3,151.1
Marcus Mariota,WAS,QB,32,11,1695,10,7,50,297,5.94,1,0,0,0,,0,125.5
J.J. McCarthy,MIN,QB,22,10,1632,11,12,37,181,4.89,4,0,0,0,,0,125.4
Tyrone Tracy Jr.,NYG,RB,26,15,0,0,0,176,740,4.20,2,48,36,288,8.00,2,160.8
Michael Penix,ATL,QB,25,9,1982,9,3,21,70,3.33,1,0,0,0,,0,120.3
Justin Jefferson,MIN,WR,26,17,0,0,0,2,7,3.50,0,141,84,1048,12.48,2,201.5
Deebo Samuel,WAS,WR,29,16,0,0,0,17,75,4.41,1,99,72,727,10.10,5,188.2
Jordan Mason,MIN,RB,26,16,0,0,0,159,758,4.77,6,16,14,51,3.64,0,128.9
Ladd McConkey,LAC,WR,24,16,0,0,0,0,0,,0,106,66,789,11.95,6,180.9
Blake Corum,LAR,RB,25,17,0,0,0,145,746,5.14,6,14,8,36,4.50,0,122.2
Jayden Daniels,WAS,QB,25,7,1262,8,3,58,278,4.79,2,0,0,0,,0,114.3
Troy Franklin,DEN,WR,22,17,0,0,0,5,12,2.40,0,104,65,709,10.91,6,177.1
Romeo Doubs,GNB,WR,25,16,0,0,0,0,0,,0,85,55,724,13.16,6,165.4
Tyler Allgeier,ATL,RB,25,17,0,0,0,143,514,3.59,8,16,14,96,6.86,0,123.0
Bucky Irving,TAM,RB,23,10,0,0,0,173,588,3.40,1,35,30,277,9.23,3,138.5
J.K. Dobbins,DEN,RB,27,10,0,0,0,153,772,5.05,4,14,11,37,3.36,0,115.9
Tre Tucker,LVR,WR,24,17,0,0,0,11,51,4.64,0,92,57,696,12.21,5,161.7
Kirk Cousins,ATL,QB,37,10,1721,10,5,14,7,0.50,1,0,0,0,,0,103.5
Omarion Hampton,LAC,RB,22,9,0,0,0,124,545,4.40,4,35,32,192,6.00,1,135.7
Cam Skattebo,NYG,RB,23,8,0,0,0,101,410,4.06,5,32,24,207,8.63,2,127.7
Juwan Johnson,NOR,TE,29,17,0,0,0,0,0,,0,102,77,889,11.55,3,179.9
Rachaad White,TAM,RB,26,17,0,0,0,132,572,4.33,4,45,40,218,5.45,0,143.0
Keenan Allen,LAC,WR,33,17,0,0,0,0,0,,0,122,81,777,9.59,4,182.7
Rome Odunze,CHI,WR,23,12,0,0,0,0,0,,0,90,44,661,15.02,6,146.1
Kimani Vidal,LAC,RB,24,13,0,0,0,155,643,4.15,3,22,16,136,8.50,1,117.9
Jakobi Meyers,2TM,WR,29,16,0,0,0,5,13,2.60,0,110,75,835,11.13,3,175.8
Spencer Rattler,NOR,QB,25,9,1586,8,5,31,167,5.39,0,2,1,0,0.00,0,99.1
Rashid Shaheed,2TM,WR,27,18,0,0,0,9,69,7.67,0,92,59,687,11.64,2,156.6
Rashee Rice,KAN,WR,25,8,0,0,0,5,20,4.00,1,78,53,571,10.77,5,150.1
Christian Watson,GNB,WR,26,10,0,0,0,1,3,3.00,0,55,35,611,17.46,6,132.4
Dalton Schultz,HOU,TE,29,17,0,0,0,0,0,,0,106,82,777,9.48,3,177.7
AJ Barner,SEA,TE,23,17,0,0,0,10,14,1.40,1,68,52,519,9.98,6,147.3
Chuba Hubbard,CAR,RB,26,15,0,0,0,134,511,3.81,1,39,30,223,7.43,3,125.4
Khalil Shakir,BUF,WR,25,16,0,0,0,1,5,5.00,0,95,72,719,9.99,4,166.4
Jordan Addison,MIN,WR,23,14,0,0,0,2,81,40.50,1,79,42,610,14.52,3,135.1
Kayshon Boutte,NWE,WR,23,14,0,0,0,0,0,,0,46,33,551,16.70,6,124.1
Aaron Jones,MIN,RB,31,12,0,0,0,132,548,4.15,2,41,28,199,7.11,1,118.7
Devin Singletary,NYG,RB,28,17,0,0,0,119,437,3.67,5,19,18,151,8.39,0,108.8
Brian Thomas,JAX,WR,23,14,0,0,0,3,21,7.00,1,91,48,707,14.73,2,138.8
Marquise Brown,KAN,WR,28,16,0,0,0,0,0,,0,74,49,587,11.98,5,137.7
Jayden Higgins,HOU,WR,23,17,0,0,0,0,0,,0,68,41,525,12.80,6,129.5
Chris Rodriguez,WAS,RB,25,13,0,0,0,112,500,4.46,6,4,3,30,10.00,0,92.0
Marvin Harrison Jr.,ARI,WR,23,12,0,0,0,0,0,,0,73,41,608,14.83,4,127.8
Dalton Kincaid,BUF,TE,26,12,0,0,0,0,0,,0,49,39,571,14.64,5,126.1
Colby Parkinson,LAR,TE,26,15,0,0,0,0,0,,0,56,43,408,9.49,8,129.8
Tucker Kraft,GNB,TE,25,8,0,0,0,1,3,3.00,0,44,32,489,15.28,6,117.2
Shedeur Sanders,CLE,QB,23,8,1400,7,10,21,169,8.05,1,0,0,0,,0,84.9
Mark Andrews,BAL,TE,30,17,0,0,0,10,48,4.80,1,70,48,422,8.79,5,131.0
Theo Johnson,NYG,TE,24,15,0,0,0,0,0,,0,74,45,528,11.73,5,127.8
Sean Tucker,TAM,RB,24,17,0,0,0,86,320,3.72,7,11,8,34,4.25,1,91.4
Oronde Gadsden II,LAC,TE,22,15,0,0,0,0,0,,0,69,49,664,13.55,3,131.4
Luther Burden,CHI,WR,22,15,0,0,0,6,37,6.17,0,60,47,652,13.87,2,127.9
Emanuel Wilson,GNB,RB,26,17,0,0,0,125,496,3.97,3,17,15,99,6.60,0,94.5
Bhayshul Tuten,JAX,RB,22,15,0,0,0,83,307,3.70,5,14,10,79,7.90,2,88.6
Chimere Dike,TEN,WR,24,17,0,0,0,11,18,1.64,0,74,48,423,8.81,4,126.1
Josh Downs,IND,WR,24,16,0,0,0,2,-2,-1.00,0,88,58,566,9.76,4,136.4
Kyler Murray,ARI,QB,28,5,962,6,3,29,173,5.97,1,0,0,0,,0,77.8
Elic Ayomanor,TEN,WR,22,16,0,0,0,0,0,,0,89,41,515,12.56,4,116.5
Zach Ertz,WAS,TE,35,13,0,0,0,0,0,,0,72,50,504,10.08,4,126.4
Ty Johnson,BUF,RB,28,17,0,0,0,50,200,4.00,3,33,24,263,10.96,2,100.3
Terry McLaurin,WAS,WR,30,10,0,0,0,0,0,,0,60,38,582,15.32,3,114.2
Nick Chubb,HOU,RB,30,15,0,0,0,122,506,4.15,3,20,13,67,5.15,0,88.3
Ryan Flournoy,DAL,WR,26,16,0,0,0,4,25,6.25,0,56,40,475,11.88,4,114.0
Pat Freiermuth,PIT,TE,27,17,0,0,0,0,0,,0,54,41,486,11.85,4,113.6
Jalen Nailor,MIN,WR,26,17,0,0,0,2,13,6.50,0,53,29,444,15.31,4,100.7
Brenton Strange,JAX,TE,25,12,0,0,0,0,0,,0,60,46,540,11.74,3,118.0
Jerry Jeudy,CLE,WR,26,17,0,0,0,1,5,5.00,0,106,50,602,12.04,2,120.7
Zonovan Knight,ARI,RB,24,12,0,0,0,82,269,3.28,4,31,22,160,7.27,1,92.9
Malik Washington,MIA,WR,24,17,0,0,0,17,110,6.47,1,65,46,317,6.89,3,116.7
Dillon Gabriel,CLE,QB,25,10,937,7,2,14,86,6.14,0,0,0,0,,0,70.1
Carson Wentz,MIN,QB,33,5,1216,6,5,11,57,5.18,0,0,0,0,,0,70.3
Cooper Kupp,SEA,WR,32,16,0,0,1,0,0,,0,70,47,593,12.62,2,116.3
Davis Mills,HOU,QB,27,6,915,5,1,13,60,4.62,1,0,0,0,,0,68.6
Alvin Kamara,NOR,RB,30,11,0,0,0,131,471,3.60,1,39,33,186,5.64,0,100.7
Dawson Knox,BUF,TE,29,17,0,0,0,0,0,,0,49,36,417,11.58,4,103.7
Chig Okonkwo,TEN,TE,26,17,0,0,0,0,0,,0,79,56,560,10.00,2,124.0
Isiah Pacheco,KAN,RB,26,13,0,0,0,118,462,3.92,1,26,19,101,5.32,1,87.3
Xavier Worthy,KAN,WR,22,14,0,0,0,11,87,7.91,0,73,42,532,12.67,1,109.9
Mack Hollins,NWE,WR,32,15,0,0,0,1,4,4.00,0,65,46,550,11.96,2,113.4
Sam LaPorta,DET,TE,24,9,0,0,0,0,0,,0,49,40,489,12.23,3,106.9
Tyjae Spears,TEN,RB,24,13,0,0,0,72,283,3.93,2,50,45,264,5.87,0,111.7
Michael Carter,ARI,RB,26,13,0,0,0,92,333,3.62,1,45,33,267,8.09,0,99.0
DeMario Douglas,NWE,WR,25,17,0,0,0,7,21,3.00,0,46,31,447,14.42,3,95.8
Darren Waller,MIA,TE,33,9,0,0,0,1,4,4.00,0,34,24,283,11.79,6,88.7
Keon Coleman,BUF,WR,22,13,0,0,0,0,0,,0,59,38,404,10.63,4,102.4
Tez Johnson,TAM,WR,23,16,0,0,0,7,22,3.14,0,44,28,322,11.50,5,92.4
Garrett Wilson,NYJ,WR,25,7,0,0,0,0,0,,0,59,36,395,10.97,4,99.5
Xavier Hutchinson,HOU,WR,25,17,0,0,0,3,22,7.33,0,57,35,428,12.23,3,98.0
Cade Otton,TAM,TE,26,16,0,0,0,0,0,,0,81,59,572,9.69,1,122.2
T.J. Hockenson,MIN,TE,28,15,0,0,0,1,0,0.00,0,66,51,438,8.59,3,112.8
Darius Slayton,NYG,WR,28,14,0,0,0,0,0,,0,63,37,538,14.54,1,98.8
Tyquan Thornton,KAN,WR,25,14,0,0,0,0,0,,0,37,19,438,23.05,3,80.8
Samaje Perine,CIN,RB,30,15,0,0,0,84,382,4.55,3,21,17,87,5.12,0,77.9
Isaac TeSlaa,DET,WR,23,17,0,0,0,0,0,,0,27,16,239,14.94,6,75.9
Tyrod Taylor,NYJ,QB,36,6,779,5,5,27,143,5.30,1,0,0,0,,0,59.5
Jake Tonges,SFO,TE,26,17,0,0,0,0,0,,0,46,34,293,8.62,5,93.3
KaVontae Turpin,DAL,WR,29,15,0,0,0,17,89,5.24,0,38,26,396,15.23,2,84.5
Jalen Coker,CAR,WR,24,11,0,0,0,0,0,,0,43,33,394,11.94,3,90.4
Andrei Iosivas,CIN,WR,26,17,0,0,0,3,14,4.67,0,58,33,435,13.18,2,89.9
Marvin Mims,DEN,WR,23,15,0,0,0,12,78,6.50,1,51,37,322,8.70,1,93.0
Calvin Austin III,PIT,WR,26,14,0,0,0,0,0,,0,55,31,372,12.00,3,86.2
Kendrick Bourne,SFO,WR,30,16,0,0,0,0,0,,0,53,37,551,14.89,0,92.1
Mike Evans,TAM,WR,32,8,0,0,0,0,0,,0,62,30,368,12.27,3,84.8
Adonai Mitchell,2TM,WR,23,16,0,0,0,1,-4,-4.00,0,74,33,453,13.73,2,87.9
Brian Robinson Jr.,SFO,RB,26,17,0,0,0,92,400,4.35,2,12,8,25,3.13,0,62.5
Dylan Sampson,CLE,RB,21,15,0,0,0,65,175,2.69,0,40,33,271,8.21,2,87.6
Ray Davis,BUF,RB,26,17,0,0,0,58,275,4.74,0,13,10,86,8.60,2,64.1
Xavier Legette,CAR,WR,24,15,0,0,0,1,0,0.00,0,64,35,363,10.37,3,89.3
Evan Engram,DEN,TE,31,16,0,0,0,1,7,7.00,0,76,50,461,9.22,1,102.8
David Njoku,CLE,TE,29,12,0,0,0,0,0,,0,48,33,293,8.88,4,86.3
Ricky Pearsall,SFO,WR,25,9,0,0,0,2,-2,-1.00,0,53,36,528,14.67,0,88.6
Tory Horton,SEA,WR,23,8,0,0,0,0,0,,0,22,13,161,12.38,5,65.1
Tank Bigsby,2TM,RB,24,17,0,0,0,63,356,5.65,2,4,3,32,10.67,0,53.8
Malik Willis,GNB,QB,26,4,422,3,0,22,123,5.59,2,0,0,0,,0,51.2
Isaiah Davis,NYJ,RB,23,16,0,0,0,43,236,5.49,1,28,21,186,8.86,0,71.2
Chris Godwin,TAM,WR,29,9,0,0,0,0,0,,0,51,33,360,10.91,2,83.0
Darnell Mooney,ATL,WR,28,15,0,0,0,0,0,,0,72,32,443,13.84,1,82.3
Russell Wilson,NYG,QB,37,6,831,3,3,18,106,5.89,0,0,0,0,,0,49.8
Jake Browning,CIN,QB,29,5,771,6,8,9,39,4.33,1,0,0,0,,0,48.7
Cole Kmet,CHI,TE,26,16,0,0,0,0,0,,0,48,30,347,11.57,2,78.7
Gunnar Helm,TEN,TE,23,16,0,0,0,0,0,,0,55,44,357,8.11,2,91.7
Jeremy McNichols,WAS,RB,30,17,0,0,0,44,221,5.02,1,31,25,196,7.84,0,72.7
Ollie Gordon,MIA,RB,21,17,0,0,0,70,199,2.84,3,9,7,32,4.57,1,54.1
Jonnu Smith,PIT,TE,30,17,0,0,0,9,70,7.78,1,54,38,222,5.84,2,85.2
Greg Dortch,ARI,WR,27,12,0,0,0,7,15,2.14,1,33,29,206,7.10,3,75.1
Tyler Higbee,LAR,TE,32,10,0,0,0,0,0,,0,36,25,281,11.24,3,71.1
Keaton Mitchell,BAL,RB,23,13,0,0,0,59,341,5.78,1,12,9,63,7.00,0,55.4
Dontayvion Wicks,GNB,WR,24,14,0,0,0,1,6,6.00,0,46,30,332,11.07,2,75.8
Olamide Zaccheaus,CHI,WR,28,16,0,0,0,4,25,6.25,0,65,39,313,8.03,2,84.8
Emari Demercado,ARI,RB,26,13,0,0,0,44,312,7.09,0,20,13,101,7.77,1,58.3
DeAndre Hopkins,BAL,WR,33,17,0,0,0,0,0,,0,39,22,330,15.00,2,67.0
Mason Taylor,NYJ,TE,21,13,0,0,0,0,0,,0,65,44,369,8.39,1,88.9
Pat Bryant,DEN,WR,23,15,0,0,0,0,0,,0,49,31,378,12.19,1,74.8
Justice Hill,BAL,RB,28,10,0,0,0,18,93,5.17,2,27,21,169,8.05,1,65.2
